"dcg"
{
	// General Strings
	"OK"											"ОК"
	"Cancel"										"Отмена"
	"UI_OK"											"OK"
	"UI_Done"										"ГОТОВО"
	"UI_Yes"										"ДА"
	"UI_No"											"НЕТ"
	"DCG_Default"									"По умолчанию"
	"DCG_Close"										"Закрыть"
	"DCG_XForClose"									"X"
	"DCG_Disconnected"								"Нет соединения"
	"DCG_InvalidPersonaName"						"[Неизвестно]"
	"generic_error_header"							"Ошибка"
	"DCG_InvalidMarketPrice"						"Н/Д"
	"CardName_0"									""
	"CardText_0"									""
	"DCG_Cancel"									"Отмена"
	"DCG_ConfirmQuit"								"Выход"
	"DCG_ConfirmQuitDesc"							"Вы действительно хотите выйти?"
	"DCG_Search"									"Поиск"
	"DCG_ConfirmQuitInGame"							"Вы уверены, что хотите выйти?"

	// Game End
	"DCG_Victory"									"ПОБЕДА"
	"DCG_Defeat"									"ПОРАЖЕНИЕ"
	"DCG_Draw"										"НИЧЬЯ"
	"DCG_GameOver_BackToMenu"						"· Выйти к меню ·"
	"DCG_GameOver_Rematch"							"· Реванш ·"
	"DCG_GameOver_FindNextMatch"					"· Найти следующую игру ·"
	"DCG_GameOver_ClaimRewards"						"· Получить награды ·"
	"DCG_GameOver_ReturnToLobby"					"· Вернуться в лобби ·"
	"DCG_GameOver_ViewOpponentDeck"					"· Колода противника ·"
	"DCG_GameOver_ViewOwnDeck"						"· Ваша колода ·"
	"DCG_GameOver_ChatWithOpponent"					"· Открыть чат с противником ·"
	"DCG_GameOver_AddFriend"						"· Добавить в друзья ·"
	"DCG_GameOver_ViewOpponentProfile"				"· Профиль противника ·"
	"DCG_GameOver_ViewOwnProfile"					"· Ваш профиль ·"
	"DCG_GameOver_AcceptFriend"						"· Принять запрос дружбы ·"
	"DCG_GameOver_HaveSentFriendRequest"			"· Запрос дружбы отправлен ·"
	"DCG_GameOver_ViewOpponentSteamProfile"			"· Открыть профиль противника ·"
	"DCG_GameOver_Continue"							"· Продолжить ·"
	// Card Tooltips and Inspection
	"DCG_CardText_AbilityCooldown"					"{s:abilityCardName} — {i:abilityCooldown} перезарядка: {s:abilityCardText}"
	"DCG_CardText_AbilityNoCooldown"				"{s:abilityCardName} — {s:abilityCardText}"
	"DCG_CardText_Charges"							"{s:cardText}<span class='LineSpacing'><br>.<br></span><span class=\"AbilityCardText\">Зарядов: {i:charges}</span>"
